,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,,JDKF,0.0,avrora,,
1,0.0,,JDKF,0.0,avrora,,
2,87.0,,JDKF,469.0,avrora,,
3,87.0,,JDKF,469.0,avrora,,
4,86.0,,JDKF,1368.0,avrora,,
5,86.0,,JDKF,1368.0,avrora,,
6,86.0,,JDKF,2877.0,avrora,,
7,86.0,,JDKF,2877.0,avrora,,
8,88.0,,JDKF,4447.0,avrora,,
9,88.0,,JDKF,4447.0,avrora,,
10,88.0,,JDKF,6009.0,avrora,,
11,88.0,,JDKF,6009.0,avrora,,
12,87.0,,JDKF,7623.0,avrora,,
13,0.0,,JDKF,0.0,avrora,,
14,0.0,,JDKF,0.0,avrora,,
15,80.0,,JDKF,690.0,avrora,,
16,80.0,,JDKF,690.0,avrora,,
17,84.0,,JDKF,1535.0,avrora,,
18,84.0,,JDKF,1535.0,avrora,,
19,88.0,,JDKF,3032.0,avrora,,
20,88.0,,JDKF,3032.0,avrora,,
21,85.0,,JDKF,4583.0,avrora,,
22,85.0,,JDKF,4583.0,avrora,,
23,116.0,,JDKF,6276.0,avrora,,
24,116.0,,JDKF,6276.0,avrora,,
25,160.0,,JDKF,7898.0,avrora,,
26,0.0,,JDKF,0.0,avrora,,
27,0.0,,JDKF,0.0,avrora,,
28,86.0,,JDKF,701.0,avrora,,
29,86.0,,JDKF,701.0,avrora,,
30,85.0,,JDKF,1523.0,avrora,,
31,85.0,,JDKF,1523.0,avrora,,
32,95.0,,JDKF,3227.0,avrora,,
33,95.0,,JDKF,3227.0,avrora,,
34,86.0,,JDKF,4786.0,avrora,,
35,86.0,,JDKF,4786.0,avrora,,
36,58.0,,JDKF,6442.0,avrora,,
37,58.0,,JDKF,6442.0,avrora,,
38,71.0,,JDKF,8054.0,avrora,,
39,0.0,,JDKF,0.0,avrora,,
40,0.0,,JDKF,0.0,avrora,,
41,80.0,,JDKF,714.0,avrora,,
42,80.0,,JDKF,714.0,avrora,,
43,86.0,,JDKF,1582.0,avrora,,
44,86.0,,JDKF,1582.0,avrora,,
45,85.0,,JDKF,3305.0,avrora,,
46,85.0,,JDKF,3305.0,avrora,,
47,81.0,,JDKF,5059.0,avrora,,
48,81.0,,JDKF,5059.0,avrora,,
49,81.0,,JDKF,6805.0,avrora,,
50,81.0,,JDKF,6805.0,avrora,,
51,100.0,,JDKF,8505.0,avrora,,
52,0.0,,JDKF,0.0,avrora,,
53,0.0,,JDKF,0.0,avrora,,
54,77.0,,JDKF,874.0,avrora,,
55,77.0,,JDKF,874.0,avrora,,
56,86.0,,JDKF,1766.0,avrora,,
57,86.0,,JDKF,1766.0,avrora,,
58,85.0,,JDKF,3411.0,avrora,,
59,85.0,,JDKF,3411.0,avrora,,
60,88.0,,JDKF,5182.0,avrora,,
61,88.0,,JDKF,5182.0,avrora,,
62,80.0,,JDKF,6938.0,avrora,,
63,80.0,,JDKF,6938.0,avrora,,
64,83.0,,JDKF,8634.0,avrora,,
65,0.0,,JDKF,0.0,avrora,,
66,0.0,,JDKF,0.0,avrora,,
67,78.0,,JDKF,707.0,avrora,,
68,78.0,,JDKF,707.0,avrora,,
69,86.0,,JDKF,1607.0,avrora,,
70,86.0,,JDKF,1607.0,avrora,,
71,84.0,,JDKF,3243.0,avrora,,
72,84.0,,JDKF,3243.0,avrora,,
73,87.0,,JDKF,5010.0,avrora,,
74,87.0,,JDKF,5010.0,avrora,,
75,83.0,,JDKF,6744.0,avrora,,
76,83.0,,JDKF,6744.0,avrora,,
77,81.0,,JDKF,8463.0,avrora,,
78,0.0,,JDKF,0.0,avrora,,
79,0.0,,JDKF,0.0,avrora,,
80,84.0,,JDKF,710.0,avrora,,
81,84.0,,JDKF,710.0,avrora,,
82,86.0,,JDKF,1580.0,avrora,,
83,86.0,,JDKF,1580.0,avrora,,
84,84.0,,JDKF,3104.0,avrora,,
85,84.0,,JDKF,3104.0,avrora,,
86,84.0,,JDKF,4781.0,avrora,,
87,84.0,,JDKF,4781.0,avrora,,
88,86.0,,JDKF,6428.0,avrora,,
89,86.0,,JDKF,6428.0,avrora,,
90,86.0,,JDKF,8034.0,avrora,,
91,0.0,,JDKF,0.0,avrora,,
92,0.0,,JDKF,0.0,avrora,,
93,85.0,,JDKF,690.0,avrora,,
94,85.0,,JDKF,690.0,avrora,,
95,86.0,,JDKF,1569.0,avrora,,
96,86.0,,JDKF,1569.0,avrora,,
97,98.0,,JDKF,3272.0,avrora,,
98,98.0,,JDKF,3272.0,avrora,,
99,158.0,,JDKF,5051.0,avrora,,
100,158.0,,JDKF,5051.0,avrora,,
101,146.0,,JDKF,6850.0,avrora,,
102,146.0,,JDKF,6850.0,avrora,,
103,142.0,,JDKF,8591.0,avrora,,
104,0.0,,JDKF,0.0,avrora,,
105,0.0,,JDKF,0.0,avrora,,
106,88.0,,JDKF,758.0,avrora,,
107,88.0,,JDKF,758.0,avrora,,
108,87.0,,JDKF,1617.0,avrora,,
109,87.0,,JDKF,1617.0,avrora,,
110,87.0,,JDKF,3267.0,avrora,,
111,87.0,,JDKF,3267.0,avrora,,
112,159.0,,JDKF,4894.0,avrora,,
113,159.0,,JDKF,4894.0,avrora,,
114,158.0,,JDKF,6496.0,avrora,,
115,158.0,,JDKF,6496.0,avrora,,
116,155.0,,JDKF,8203.0,avrora,,
117,0.0,,JDKF,0.0,avrora,,
118,0.0,,JDKF,0.0,avrora,,
119,81.0,,JDKF,709.0,avrora,,
120,81.0,,JDKF,709.0,avrora,,
121,86.0,,JDKF,1566.0,avrora,,
122,86.0,,JDKF,1566.0,avrora,,
123,154.0,,JDKF,3215.0,avrora,,
124,154.0,,JDKF,3215.0,avrora,,
125,159.0,,JDKF,4985.0,avrora,,
126,159.0,,JDKF,4985.0,avrora,,
127,137.0,,JDKF,6729.0,avrora,,
128,137.0,,JDKF,6729.0,avrora,,
129,143.0,,JDKF,8324.0,avrora,,
130,0.0,,JDKF,0.0,avrora,,
131,0.0,,JDKF,0.0,avrora,,
132,87.0,,JDKF,708.0,avrora,,
133,87.0,,JDKF,708.0,avrora,,
134,84.0,,JDKF,1585.0,avrora,,
135,84.0,,JDKF,1585.0,avrora,,
136,89.0,,JDKF,3259.0,avrora,,
137,89.0,,JDKF,3259.0,avrora,,
138,87.0,,JDKF,5042.0,avrora,,
139,87.0,,JDKF,5042.0,avrora,,
140,86.0,,JDKF,6800.0,avrora,,
141,86.0,,JDKF,6800.0,avrora,,
142,79.0,,JDKF,8515.0,avrora,,
143,0.0,,JDKF,0.0,avrora,,
144,0.0,,JDKF,0.0,avrora,,
145,84.0,,JDKF,683.0,avrora,,
146,84.0,,JDKF,683.0,avrora,,
147,84.0,,JDKF,1549.0,avrora,,
148,84.0,,JDKF,1549.0,avrora,,
149,83.0,,JDKF,3270.0,avrora,,
150,83.0,,JDKF,3270.0,avrora,,
151,82.0,,JDKF,4968.0,avrora,,
152,82.0,,JDKF,4968.0,avrora,,
153,92.0,,JDKF,6752.0,avrora,,
154,92.0,,JDKF,6752.0,avrora,,
155,88.0,,JDKF,8507.0,avrora,,
156,0.0,,JDKF,0.0,avrora,,
157,0.0,,JDKF,0.0,avrora,,
158,81.0,,JDKF,674.0,avrora,,
159,81.0,,JDKF,674.0,avrora,,
