Container,CPU Utilisation,Memory Utilisation,Iteration
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
jdk8-9-9-01,2124.0,121.0,16.0
